Type,Valeur,Nombre
Année,1954,1
Année,1956,2
Année,1957,1
Année,1958,1
Année,1959,1
Année,1960,4
Année,1961,4
Année,1962,3
Année,1963,4
Année,1964,8
Année,1965,10
Année,1966,5
Année,1967,10
Année,1968,6
Année,1969,7
Année,1970,4
Année,1971,6
Année,1972,6
Année,1973,8
Année,1974,6
Année,1975,5
Année,1976,7
Année,1977,8
Année,1978,8
Année,1979,6
Année,1980,5
Année,1981,7
Année,1982,7
Année,1983,9
Année,1984,9
Année,1985,8
Année,1986,6
Année,1987,7
Année,1988,6
Année,1989,6
Année,1990,7
Année,1991,7
Année,1992,8
Année,1993,6
Année,1994,6
Année,1995,6
Année,1996,4
Année,1997,9
Année,1998,9
Année,1999,9
Année,2000,11
Année,2001,4
Année,2002,10
Année,2003,8
Année,2004,8
Année,2005,6
Année,2006,4
Année,2007,7
Année,2008,7
Année,2009,9
Année,2010,7
Année,2011,9
Année,2012,7
Année,2013,14
Année,2014,10
Année,2015,11
Année,2016,7
Année,2017,9
Année,2018,9
Année,2019,10
Année,2020,5
Année,2021,6
Année,2022,9
Année,2023,6
Année,2024,9
Année,2025,8
Année,2026,1
Décennie,1950s,6
Décennie,1960s,61
Décennie,1970s,64
Décennie,1980s,70
Décennie,1990s,71
Décennie,2000s,74
Décennie,2010s,93
Décennie,2020s,44
Genre ID,1,215
Genre ID,2,106
Genre ID,3,71
Genre ID,4,50
Genre ID,5,41
Difficulté,Facile,285
Difficulté,Moyen,168
Difficulté,Difficile,30
