Type,Valeur,Nombre
Année,1954,1
Année,1956,2
Année,1957,1
Année,1958,1
Année,1959,1
Année,1960,4
Année,1961,4
Année,1962,3
Année,1963,4
Année,1964,8
Année,1965,10
Année,1966,5
Année,1967,10
Année,1968,6
Année,1969,7
Année,1970,4
Année,1971,6
Année,1972,6
Année,1973,8
Année,1974,6
Année,1975,5
Année,1976,7
Année,1977,8
Année,1978,8
Année,1979,6
Année,1980,5
Année,1981,7
Année,1982,6
Année,1983,9
Année,1984,9
Année,1985,8
Année,1986,6
Année,1987,7
Année,1988,6
Année,1989,6
Année,1990,7
Année,1991,7
Année,1992,8
Année,1993,6
Année,1994,6
Année,1995,6
Année,1996,5
Année,1997,8
Année,1998,9
Année,1999,9
Année,2000,11
Année,2001,5
Année,2002,10
Année,2003,8
Année,2004,8
Année,2005,6
Année,2006,4
Année,2007,7
Année,2008,7
Année,2009,9
Année,2010,8
Année,2011,10
Année,2012,7
Année,2013,14
Année,2014,13
Année,2015,12
Année,2016,9
Année,2017,9
Année,2018,11
Année,2019,13
Année,2020,7
Année,2021,7
Année,2022,9
Année,2023,6
Année,2024,10
Année,2025,8
Année,2026,1
Décennie,1950s,6
Décennie,1960s,61
Décennie,1970s,64
Décennie,1980s,69
Décennie,1990s,71
Décennie,2000s,75
Décennie,2010s,106
Décennie,2020s,48
Genre ID,1,221
Genre ID,2,107
Genre ID,3,73
Genre ID,4,55
Genre ID,5,44
Difficulté,Facile,296
Difficulté,Moyen,174
Difficulté,Difficile,30
